Timestamp | CPU % of Total | CPU Used (cores) | %MEM | RAM Used (GB) | GPU Util % | GPU MEM Used (MB)
2025-05-22 17:12:41 | 0.22% | 0.05 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:12:42 | 0.22% | 0.05 | 15.0 | 18.87 | 0% | 571
2025-05-22 17:12:43 | 0.22% | 0.05 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:12:45 | 0.23% | 0.05 | 14.8 | 18.64 | 0% | 571
2025-05-22 17:12:46 | 0.23% | 0.05 | 15.2 | 19.14 | 0% | 571
2025-05-22 17:12:47 | 0.23% | 0.05 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:12:48 | 0.23% | 0.05 | 14.8 | 18.51 | 0% | 571
2025-05-22 17:12:49 | 0.23% | 0.06 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:12:50 | 0.23% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:12:52 | 0.23% | 0.06 | 15.0 | 18.89 | 0% | 571
2025-05-22 17:12:53 | 0.23% | 0.06 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:12:54 | 0.23% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:12:55 | 0.23% | 0.06 | 15.0 | 18.93 | 0% | 571
2025-05-22 17:12:56 | 0.23% | 0.06 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:12:57 | 0.23% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:12:58 | 0.24% | 0.06 | 15.1 | 19.08 | 0% | 571
2025-05-22 17:13:00 | 0.24% | 0.06 | 15.4 | 19.44 | 0% | 571
2025-05-22 17:13:01 | 0.24% | 0.06 | 14.5 | 18.30 | 1% | 571
2025-05-22 17:13:02 | 0.24% | 0.06 | 15.0 | 19.07 | 0% | 571
2025-05-22 17:13:03 | 0.24% | 0.06 | 15.5 | 19.48 | 0% | 571
2025-05-22 17:13:04 | 0.24% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:05 | 0.24% | 0.06 | 15.2 | 18.71 | 0% | 571
2025-05-22 17:13:06 | 0.24% | 0.06 | 15.5 | 19.57 | 0% | 571
2025-05-22 17:13:08 | 0.24% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:09 | 0.25% | 0.06 | 14.9 | 18.71 | 0% | 571
2025-05-22 17:13:10 | 0.25% | 0.06 | 15.7 | 19.74 | 0% | 571
2025-05-22 17:13:11 | 0.25% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:12 | 0.25% | 0.06 | 15.0 | 18.87 | 0% | 571
2025-05-22 17:13:13 | 0.25% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:15 | 0.25% | 0.06 | 14.9 | 18.61 | 0% | 571
2025-05-22 17:13:16 | 0.25% | 0.06 | 15.3 | 19.24 | 0% | 571
2025-05-22 17:13:17 | 0.25% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:18 | 0.25% | 0.06 | 14.7 | 18.67 | 0% | 571
2025-05-22 17:13:19 | 0.25% | 0.06 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:13:20 | 0.25% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:21 | 0.25% | 0.06 | 15.0 | 18.93 | 0% | 571
2025-05-22 17:13:23 | 0.26% | 0.06 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:13:24 | 0.26% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:25 | 0.26% | 0.06 | 15.0 | 18.92 | 0% | 571
2025-05-22 17:13:26 | 0.26% | 0.06 | 15.4 | 19.33 | 0% | 571
2025-05-22 17:13:27 | 0.26% | 0.06 | 14.5 | 18.30 | 0% | 571
2025-05-22 17:13:28 | 0.26% | 0.06 | 15.2 | 19.11 | 0% | 571
2025-05-22 17:13:29 | 0.26% | 0.06 | 15.4 | 19.40 | 0% | 571
